payout_id,gateway_name,gateway_reference,gross_amount_minor,processing_fee_minor,refund_amount_minor,chargeback_amount_minor,net_settlement_amount_minor,currency,settlement_timestamp,batch_token
PO_B01_000001,Cashfree Escrow,FLPK-ORD-530290 FLPK-ORD-417200 BATCH-FLPK-0001,412412,8248,0,0,404164,INR,2026-08-03T04:22:00Z,BATCH-FLPK-0001
PO_B01_000002,Razorpay Nodal,PAYT-INV-943947 PO_B01_000002,309452,6568,0,0,302884,INR,2026-08-03T02:04:00Z,BATCH-PAYT-0002
PO_B01_000003,Stripe India,MMTR-ORD-501595 MMTR-ORD-130860 BATCH-MMTR-0003,222338,4446,0,0,217892,INR,2026-08-03T12:06:00Z,BATCH-MMTR-0003
PO_B01_000004,PayU Enterprise,BLNK-ORD-294985 BLNK-ORD-272696 BATCH-BLNK-0004,176561,3531,0,0,173030,INR,2026-08-03T14:47:00Z,BATCH-BLNK-0004
PO_B01_000005,Razorpay Nodal,JIOO-INV-722173 PO_B01_000005,313251,5563,0,0,307688,INR,2026-08-03T02:34:00Z,BATCH-JIOO-0005
PO_B01_000006,Razorpay Nodal,OLAA-INV-856743 PO_B01_000006,219804,4987,0,0,214817,INR,2026-08-03T16:27:00Z,BATCH-OLAA-0006
PO_B01_000007,BillDesk Settlement,BBAS-ORD-712908 BBAS-ORD-554188 BBAS-ORD-927535 BATCH-BBAS-0007,420038,8400,0,0,411638,INR,2026-08-03T01:02:00Z,BATCH-BBAS-0007
PO_B01_000008,Stripe India,OLAA-INV-587864 PO_B01_000008,181030,3062,0,0,177968,INR,2026-08-03T18:09:00Z,BATCH-OLAA-0008
PO_B01_000009,Cashfree Escrow,FLPK-INV-180657 PO_B01_000009,285175,4820,0,0,280355,INR,2026-08-03T13:26:00Z,BATCH-FLPK-0009
PO_B01_000010,PayU Enterprise,MYNT-ORD-843398 MYNT-ORD-608707 BATCH-MYNT-0010,170010,3400,0,0,166610,INR,2026-08-03T05:05:00Z,BATCH-MYNT-0010
PO_B01_000011,Razorpay Nodal,PAYT-ORD-196803 PAYT-ORD-310598 BATCH-PAYT-0011,279295,5585,0,0,273710,INR,2026-08-03T06:27:00Z,BATCH-PAYT-0011
PO_B01_000012,Stripe India,TATA-ORD-576509 TATA-ORD-294919 TATA-ORD-302609 BATCH-TATA-0012,331883,6637,0,0,325246,INR,2026-08-03T16:25:00Z,BATCH-TATA-0012
PO_B01_000013,BillDesk Settlement,BKMS-INV-894115 PO_B01_000013,348711,8081,0,0,340630,INR,2026-08-03T04:29:00Z,BATCH-BKMS-0013
PO_B01_000014,BillDesk Settlement,NYKA-ORD-948490 NYKA-ORD-261224 NYKA-ORD-833135 BATCH-NYKA-0014,388764,7775,0,0,380989,INR,2026-08-03T01:43:00Z,BATCH-NYKA-0014
PO_B01_000015,Stripe India,MMTR-INV-121706 PO_B01_000015,274985,5755,0,0,269230,INR,2026-08-03T11:49:00Z,BATCH-MMTR-0015
PO_B01_000016,Razorpay Nodal,AMZN-INV-101234 PO_B01_000016,410708,6455,0,0,404253,INR,2026-08-03T05:29:00Z,BATCH-AMZN-0016
PO_B01_000017,Stripe India,ZOMA-ORD-721124 ZOMA-ORD-911534 BATCH-ZOMA-0017,94389,1887,0,0,92502,INR,2026-08-03T19:15:00Z,BATCH-ZOMA-0017
PO_B01_000018,BillDesk Settlement,JIOO-INV-618028 PO_B01_000018,129156,2725,0,0,126431,INR,2026-08-02T21:16:00Z,BATCH-JIOO-0018
PO_B01_000019,Razorpay Nodal,JIOO-INV-889125 PO_B01_000019,417525,6851,0,0,410674,INR,2026-08-02T15:04:00Z,BATCH-JIOO-0019
PO_B01_000020,Stripe India,FLPK-ORD-530018 FLPK-ORD-461681 BATCH-FLPK-0020,212882,4257,0,0,208625,INR,2026-08-02T23:44:00Z,BATCH-FLPK-0020
PO_B01_000021,Razorpay Nodal,OLAA-INV-105390 PO_B01_000021,59955,1047,0,0,58908,INR,2026-08-03T09:04:00Z,BATCH-OLAA-0021
PO_B01_000022,Stripe India,JIOO-INV-844787 PO_B01_000022,335630,6602,0,0,329028,INR,2026-08-03T07:36:00Z,BATCH-JIOO-0022
PO_B01_000023,BillDesk Settlement,TATA-INV-902074 PO_B01_000023,306006,7155,0,0,298851,INR,2026-08-03T20:19:00Z,BATCH-TATA-0023
PO_B01_000024,BillDesk Settlement,ZOMA-ORD-406491 ZOMA-ORD-940606 ZOMA-ORD-413837 BATCH-ZOMA-0024,363202,7264,0,0,355938,INR,2026-08-03T00:49:00Z,BATCH-ZOMA-0024
PO_B01_000025,BillDesk Settlement,MYNT-INV-388111 PO_B01_000025,73443,1392,0,0,72051,INR,2026-08-02T20:01:00Z,BATCH-MYNT-0025
PO_B01_000026,Cashfree Escrow,MYNT-INV-404208 PO_B01_000026,140409,2397,0,0,138012,INR,2026-08-03T16:00:00Z,BATCH-MYNT-0026
PO_B01_000027,Razorpay Nodal,ZOMA-INV-748787 PO_B01_000027,109533,2561,0,0,106972,INR,2026-08-03T06:31:00Z,BATCH-ZOMA-0027
PO_B01_000028,BillDesk Settlement,MYNT-ORD-151091 MYNT-ORD-787361 MYNT-ORD-491126 BATCH-MYNT-0028,255631,5112,0,0,250519,INR,2026-08-03T12:51:00Z,BATCH-MYNT-0028
PO_B01_000029,PayU Enterprise,AMZN-INV-488824 PO_B01_000029,218891,3362,0,0,215529,INR,2026-08-03T10:39:00Z,BATCH-AMZN-0029
PO_B01_000030,Cashfree Escrow,FLPK-INV-745263 PO_B01_000030,205452,3915,0,0,201537,INR,2026-08-03T13:53:00Z,BATCH-FLPK-0030
PO_B01_000031,Razorpay Nodal,MYNT-EXC-877171-UNRESOLVED,60490,1199,0,0,59291,INR,2026-08-03T09:32:00Z,HOLD-ESCROW
PO_B01_000032,Stripe India,PHNP-INV-711391 PO_B01_000032,86343,1526,0,0,84817,INR,2026-08-02T20:13:00Z,BATCH-PHNP-0032
PO_B01_000033,Cashfree Escrow,MMTR-INV-550065 PO_B01_000033,122651,2830,0,0,119821,INR,2026-08-03T08:20:00Z,BATCH-MMTR-0033
PO_B01_000034,Razorpay Nodal,PHNP-INV-268116 PO_B01_000034,362943,6636,0,0,356307,INR,2026-08-03T22:24:00Z,BATCH-PHNP-0034
PO_B01_000035,PayU Enterprise,MMTR-ORD-893922 MMTR-ORD-367764 BATCH-MMTR-0035,274765,5495,0,0,269270,INR,2026-08-03T20:49:00Z,BATCH-MMTR-0035
PO_B01_000036,PayU Enterprise,JIOO-ORD-877985 JIOO-ORD-305358 BATCH-JIOO-0036,374504,7490,0,0,367014,INR,2026-08-03T20:18:00Z,BATCH-JIOO-0036
PO_B01_000037,PayU Enterprise,MMTR-ORD-715074 MMTR-ORD-455764 BATCH-MMTR-0037,406389,8127,0,0,398262,INR,2026-08-03T05:38:00Z,BATCH-MMTR-0037
PO_B01_000038,BillDesk Settlement,MYNT-INV-982846 PO_B01_000038,292913,6210,0,0,286703,INR,2026-08-03T15:08:00Z,BATCH-MYNT-0038
PO_B01_000039,Razorpay Nodal,AMZN-INV-630058 PO_B01_000039,252994,5147,0,0,247847,INR,2026-08-03T11:01:00Z,BATCH-AMZN-0039
PO_B01_000040,Cashfree Escrow,JIOO-INV-119435 PO_B01_000040,319462,7823,0,0,311639,INR,2026-08-03T03:51:00Z,BATCH-JIOO-0040
PO_B01_000041,Razorpay Nodal,ZOMA-INV-330889 PO_B01_000041,388467,9285,0,0,379182,INR,2026-08-03T12:41:00Z,BATCH-ZOMA-0041
PO_B01_000042,PayU Enterprise,BLNK-ORD-177359 BLNK-ORD-414112 BATCH-BLNK-0042,234995,4699,0,0,230296,INR,2026-08-03T10:48:00Z,BATCH-BLNK-0042
PO_B01_000043,Razorpay Nodal,UBER-EXC-172757-UNRESOLVED,223103,4452,0,0,218651,INR,2026-08-03T12:33:00Z,HOLD-ESCROW
PO_B01_000044,Cashfree Escrow,SWIG-INV-330042 PO_B01_000044,348407,8161,0,0,340246,INR,2026-08-02T23:13:00Z,BATCH-SWIG-0044
PO_B01_000045,Cashfree Escrow,BLNK-ORD-622828 BLNK-ORD-558982 BATCH-BLNK-0045,59554,1191,0,0,58363,INR,2026-08-03T17:07:00Z,BATCH-BLNK-0045
PO_B01_000046,PayU Enterprise,PHNP-ORD-393557 PHNP-ORD-295353 PHNP-ORD-482802 BATCH-PHNP-0046,434336,8686,0,0,425650,INR,2026-08-03T08:47:00Z,BATCH-PHNP-0046
PO_B01_000047,Razorpay Nodal,NYKA-INV-945662 PO_B01_000047,225238,4159,0,0,221079,INR,2026-08-03T03:11:00Z,BATCH-NYKA-0047
PO_B01_000048,Stripe India,FLPK-INV-465092 PO_B01_000048,190675,3001,0,0,187674,INR,2026-08-03T05:08:00Z,BATCH-FLPK-0048
PO_B01_000049,PayU Enterprise,PAYT-ORD-980948 PAYT-ORD-209115 PAYT-ORD-267405 BATCH-PAYT-0049,506451,10129,0,0,496322,INR,2026-08-03T07:46:00Z,BATCH-PAYT-0049
PO_B01_000050,Razorpay Nodal,FLPK-INV-615700 PO_B01_000050,426763,8871,0,0,417892,INR,2026-08-03T06:47:00Z,BATCH-FLPK-0050
PO_B01_000051,Stripe India,FLPK-ORD-915127 FLPK-ORD-782275 BATCH-FLPK-0051,177135,3542,0,0,173593,INR,2026-08-03T12:48:00Z,BATCH-FLPK-0051
PO_B01_000052,Cashfree Escrow,OLAA-INV-893772 PO_B01_000052,437731,10677,0,0,427054,INR,2026-08-03T07:51:00Z,BATCH-OLAA-0052
PO_B01_000053,Razorpay Nodal,SWIG-INV-532654 PO_B01_000053,112402,2783,0,0,109619,INR,2026-08-03T12:41:00Z,BATCH-SWIG-0053
PO_B01_000054,PayU Enterprise,BBAS-INV-104110 PO_B01_000054,443242,10040,0,0,433202,INR,2026-08-03T10:30:00Z,BATCH-BBAS-0054
PO_B01_000055,Stripe India,MYNT-INV-181897 PO_B01_000055,334105,6725,0,0,327380,INR,2026-08-03T18:39:00Z,BATCH-MYNT-0055
PO_B01_000056,Cashfree Escrow,TATA-ORD-799927 TATA-ORD-421144 BATCH-TATA-0056,390747,7814,0,0,382933,INR,2026-08-03T15:54:00Z,BATCH-TATA-0056
