transaction_id,customer_reference,order_id,gross_amount_minor,net_amount_minor,currency,created_at,counterparty_name,payment_method,status
TXN_B01_000001,FLPK-ORD-530290,ORD-FLPK-ORD-530290,233416,228748,INR,2026-08-02T16:22:00Z,Flipkart Internet Pvt Ltd,CreditCard,SETTLED
TXN_B01_000002,FLPK-ORD-417200,ORD-FLPK-ORD-417200,178996,175417,INR,2026-08-02T16:37:00Z,Flipkart Internet Pvt Ltd,CreditCard,SETTLED
TXN_B01_000003,PAYT-INV-943947,ORD-PAYT-INV-943947,309452,302884,INR,2026-08-02T12:04:00Z,Paytm One97 Communications,NetBanking,SETTLED
TXN_B01_000004,MMTR-ORD-501595,ORD-MMTR-ORD-501595,66721,65387,INR,2026-08-03T00:06:00Z,MakeMyTrip India Pvt Ltd,NetBanking,SETTLED
TXN_B01_000005,MMTR-ORD-130860,ORD-MMTR-ORD-130860,155617,152505,INR,2026-08-03T00:21:00Z,MakeMyTrip India Pvt Ltd,NetBanking,SETTLED
TXN_B01_000006,BLNK-ORD-294985,ORD-BLNK-ORD-294985,73469,72000,INR,2026-08-03T02:47:00Z,Blinkit Commerce Pvt Ltd,NEFT,SETTLED
TXN_B01_000007,BLNK-ORD-272696,ORD-BLNK-ORD-272696,103092,101031,INR,2026-08-03T03:02:00Z,Blinkit Commerce Pvt Ltd,NEFT,SETTLED
TXN_B01_000008,JIOO-INV-722173,ORD-JIOO-INV-722173,313251,307688,INR,2026-08-02T11:34:00Z,Reliance Retail / Jio Platforms,UPI,SETTLED
TXN_B01_000009,OLAA-INV-856743,ORD-OLAA-INV-856743,219804,214817,INR,2026-08-02T23:27:00Z,Ola ANI Technologies,DebitCard,SETTLED
TXN_B01_000010,BBAS-ORD-712908,ORD-BBAS-ORD-712908,81120,79498,INR,2026-08-02T13:02:00Z,BigBasket Supermarket Grocery,NetBanking,SETTLED
TXN_B01_000011,BBAS-ORD-554188,ORD-BBAS-ORD-554188,204079,199998,INR,2026-08-02T13:17:00Z,BigBasket Supermarket Grocery,NetBanking,SETTLED
TXN_B01_000012,BBAS-ORD-927535,ORD-BBAS-ORD-927535,134839,132143,INR,2026-08-02T13:32:00Z,BigBasket Supermarket Grocery,NetBanking,SETTLED
TXN_B01_000013,OLAA-INV-587864,ORD-OLAA-INV-587864,181030,177968,INR,2026-08-03T03:09:00Z,Ola ANI Technologies,RTGS,SETTLED
TXN_B01_000014,FLPK-INV-180657,ORD-FLPK-INV-180657,285175,280355,INR,2026-08-03T08:26:00Z,Flipkart Internet Pvt Ltd,RTGS,SETTLED
TXN_B01_000015,MYNT-ORD-843398,ORD-MYNT-ORD-843398,49614,48622,INR,2026-08-02T17:05:00Z,Myntra Designs Pvt Ltd,NEFT,SETTLED
TXN_B01_000016,MYNT-ORD-608707,ORD-MYNT-ORD-608707,120396,117989,INR,2026-08-02T17:20:00Z,Myntra Designs Pvt Ltd,NEFT,SETTLED
TXN_B01_000017,PAYT-ORD-196803,ORD-PAYT-ORD-196803,54929,53831,INR,2026-08-02T18:27:00Z,Paytm One97 Communications,DebitCard,SETTLED
TXN_B01_000018,PAYT-ORD-310598,ORD-PAYT-ORD-310598,224366,219879,INR,2026-08-02T18:42:00Z,Paytm One97 Communications,DebitCard,SETTLED
TXN_B01_000019,TATA-ORD-576509,ORD-TATA-ORD-576509,65446,64138,INR,2026-08-03T04:25:00Z,Tata Digital Private Limited,CreditCard,SETTLED
TXN_B01_000020,TATA-ORD-294919,ORD-TATA-ORD-294919,89557,87766,INR,2026-08-03T04:40:00Z,Tata Digital Private Limited,CreditCard,SETTLED
TXN_B01_000021,TATA-ORD-302609,ORD-TATA-ORD-302609,176880,173343,INR,2026-08-03T04:55:00Z,Tata Digital Private Limited,CreditCard,SETTLED
TXN_B01_000022,BKMS-INV-894115,ORD-BKMS-INV-894115,348711,340630,INR,2026-08-03T00:29:00Z,BookMyShow Bigtree Entertainment,CreditCard,SETTLED
TXN_B01_000023,NYKA-ORD-948490,ORD-NYKA-ORD-948490,123195,120732,INR,2026-08-02T13:43:00Z,Nykaa E-Retail Pvt Ltd,NetBanking,SETTLED
TXN_B01_000024,NYKA-ORD-261224,ORD-NYKA-ORD-261224,197286,193341,INR,2026-08-02T13:58:00Z,Nykaa E-Retail Pvt Ltd,NetBanking,SETTLED
TXN_B01_000025,NYKA-ORD-833135,ORD-NYKA-ORD-833135,68283,66918,INR,2026-08-02T14:13:00Z,Nykaa E-Retail Pvt Ltd,NetBanking,SETTLED
TXN_B01_000026,MMTR-INV-121706,ORD-MMTR-INV-121706,274985,269230,INR,2026-08-02T17:49:00Z,MakeMyTrip India Pvt Ltd,NetBanking,SETTLED
TXN_B01_000027,AMZN-INV-101234,ORD-AMZN-INV-101234,410708,404253,INR,2026-08-02T21:29:00Z,Amazon Seller Services India,RTGS,SETTLED
TXN_B01_000028,ZOMA-ORD-721124,ORD-ZOMA-ORD-721124,63856,62579,INR,2026-08-03T07:15:00Z,Zomato Limited,NetBanking,SETTLED
TXN_B01_000029,ZOMA-ORD-911534,ORD-ZOMA-ORD-911534,30533,29923,INR,2026-08-03T07:30:00Z,Zomato Limited,NetBanking,SETTLED
TXN_B01_000030,JIOO-INV-618028,ORD-JIOO-INV-618028,129156,126431,INR,2026-08-02T15:16:00Z,Reliance Retail / Jio Platforms,CreditCard,SETTLED
TXN_B01_000031,JIOO-INV-889125,ORD-JIOO-INV-889125,417525,410674,INR,2026-08-02T11:04:00Z,Reliance Retail / Jio Platforms,UPI,SETTLED
TXN_B01_000032,FLPK-ORD-530018,ORD-FLPK-ORD-530018,42814,41958,INR,2026-08-02T11:44:00Z,Flipkart Internet Pvt Ltd,RTGS,SETTLED
TXN_B01_000033,FLPK-ORD-461681,ORD-FLPK-ORD-461681,170068,166667,INR,2026-08-02T11:59:00Z,Flipkart Internet Pvt Ltd,RTGS,SETTLED
TXN_B01_000034,OLAA-INV-105390,ORD-OLAA-INV-105390,59955,58908,INR,2026-08-02T23:04:00Z,Ola ANI Technologies,RTGS,SETTLED
TXN_B01_000035,JIOO-INV-844787,ORD-JIOO-INV-844787,335630,329028,INR,2026-08-02T22:36:00Z,Reliance Retail / Jio Platforms,DebitCard,SETTLED
TXN_B01_000036,TATA-INV-902074,ORD-TATA-INV-902074,306006,298851,INR,2026-08-03T05:19:00Z,Tata Digital Private Limited,RTGS,SETTLED
TXN_B01_000037,ZOMA-ORD-406491,ORD-ZOMA-ORD-406491,80916,79298,INR,2026-08-02T12:49:00Z,Zomato Limited,NEFT,SETTLED
TXN_B01_000038,ZOMA-ORD-940606,ORD-ZOMA-ORD-940606,202181,198138,INR,2026-08-02T13:04:00Z,Zomato Limited,NEFT,SETTLED
TXN_B01_000039,ZOMA-ORD-413837,ORD-ZOMA-ORD-413837,80105,78503,INR,2026-08-02T13:19:00Z,Zomato Limited,NEFT,SETTLED
TXN_B01_000040,MYNT-INV-388111,ORD-MYNT-INV-388111,73443,72051,INR,2026-08-02T13:01:00Z,Myntra Designs Pvt Ltd,NEFT,SETTLED
TXN_B01_000041,MYNT-INV-404208,ORD-MYNT-INV-404208,140409,138012,INR,2026-08-03T03:00:00Z,Myntra Designs Pvt Ltd,NetBanking,SETTLED
TXN_B01_000042,ZOMA-INV-748787,ORD-ZOMA-INV-748787,109533,106972,INR,2026-08-02T14:31:00Z,Zomato Limited,NEFT,SETTLED
TXN_B01_000043,MYNT-ORD-151091,ORD-MYNT-ORD-151091,16791,16456,INR,2026-08-03T00:51:00Z,Myntra Designs Pvt Ltd,DebitCard,SETTLED
TXN_B01_000044,MYNT-ORD-787361,ORD-MYNT-ORD-787361,132472,129823,INR,2026-08-03T01:06:00Z,Myntra Designs Pvt Ltd,DebitCard,SETTLED
TXN_B01_000045,MYNT-ORD-491126,ORD-MYNT-ORD-491126,106368,104241,INR,2026-08-03T01:21:00Z,Myntra Designs Pvt Ltd,DebitCard,SETTLED
TXN_B01_000046,AMZN-INV-488824,ORD-AMZN-INV-488824,218891,215529,INR,2026-08-02T21:39:00Z,Amazon Seller Services India,CreditCard,SETTLED
TXN_B01_000047,FLPK-INV-745263,ORD-FLPK-INV-745263,205452,201537,INR,2026-08-02T22:53:00Z,Flipkart Internet Pvt Ltd,NEFT,SETTLED
TXN_B01_000048,MYNT-EXC-877171,ORD-MYNT-EXC-877171,59990,58791,INR,2026-08-02T09:32:00Z,Myntra Designs Pvt Ltd,DebitCard,PENDING
TXN_B01_000049,PHNP-INV-711391,ORD-PHNP-INV-711391,86343,84817,INR,2026-08-02T14:13:00Z,PhonePe Payment Services,NetBanking,SETTLED
TXN_B01_000050,MMTR-INV-550065,ORD-MMTR-INV-550065,122651,119821,INR,2026-08-02T15:20:00Z,MakeMyTrip India Pvt Ltd,UPI,SETTLED
TXN_B01_000051,PHNP-INV-268116,ORD-PHNP-INV-268116,362943,356307,INR,2026-08-03T06:24:00Z,PhonePe Payment Services,NEFT,SETTLED
TXN_B01_000052,MMTR-ORD-893922,ORD-MMTR-ORD-893922,76302,74776,INR,2026-08-03T08:49:00Z,MakeMyTrip India Pvt Ltd,RTGS,SETTLED
TXN_B01_000053,MMTR-ORD-367764,ORD-MMTR-ORD-367764,198463,194494,INR,2026-08-03T09:04:00Z,MakeMyTrip India Pvt Ltd,RTGS,SETTLED
TXN_B01_000054,JIOO-ORD-877985,ORD-JIOO-ORD-877985,180659,177046,INR,2026-08-03T08:18:00Z,Reliance Retail / Jio Platforms,RTGS,SETTLED
TXN_B01_000055,JIOO-ORD-305358,ORD-JIOO-ORD-305358,193845,189969,INR,2026-08-03T08:33:00Z,Reliance Retail / Jio Platforms,RTGS,SETTLED
TXN_B01_000056,MMTR-ORD-715074,ORD-MMTR-ORD-715074,191154,187331,INR,2026-08-02T17:38:00Z,MakeMyTrip India Pvt Ltd,DebitCard,SETTLED
TXN_B01_000057,MMTR-ORD-455764,ORD-MMTR-ORD-455764,215235,210931,INR,2026-08-02T17:53:00Z,MakeMyTrip India Pvt Ltd,DebitCard,SETTLED
TXN_B01_000058,MYNT-INV-982846,ORD-MYNT-INV-982846,292913,286703,INR,2026-08-03T00:08:00Z,Myntra Designs Pvt Ltd,NetBanking,SETTLED
TXN_B01_000059,AMZN-INV-630058,ORD-AMZN-INV-630058,252994,247847,INR,2026-08-02T18:01:00Z,Amazon Seller Services India,NEFT,SETTLED
TXN_B01_000060,JIOO-INV-119435,ORD-JIOO-INV-119435,319462,311639,INR,2026-08-02T21:51:00Z,Reliance Retail / Jio Platforms,NEFT,SETTLED
TXN_B01_000061,ZOMA-INV-330889,ORD-ZOMA-INV-330889,388467,379182,INR,2026-08-03T03:41:00Z,Zomato Limited,CreditCard,SETTLED
TXN_B01_000062,BLNK-ORD-177359,ORD-BLNK-ORD-177359,59310,58124,INR,2026-08-02T22:48:00Z,Blinkit Commerce Pvt Ltd,NetBanking,SETTLED
