payout_id,gateway_name,gateway_reference,gross_amount_minor,processing_fee_minor,refund_amount_minor,chargeback_amount_minor,net_settlement_amount_minor,currency,settlement_timestamp,batch_token
PO_B10_000001,Stripe India,JIOO-ORD-931366 JIOO-ORD-333987 JIOO-ORD-363374 BATCH-JIOO-0001,408559,8171,0,0,400388,INR,2026-08-12T00:07:00Z,BATCH-JIOO-0001
PO_B10_000002,Cashfree Escrow,NYKA-ORD-234691 NYKA-ORD-400347 BATCH-NYKA-0002,182393,3647,0,0,178746,INR,2026-08-12T07:49:00Z,BATCH-NYKA-0002
PO_B10_000003,Cashfree Escrow,OLAA-ORD-318922 OLAA-ORD-309485 OLAA-ORD-130972 BATCH-OLAA-0003,570467,11409,0,0,559058,INR,2026-08-12T00:57:00Z,BATCH-OLAA-0003
PO_B10_000004,BillDesk Settlement,SWIG-INV-502469 PO_B10_000004,386034,8119,0,0,377915,INR,2026-08-12T20:35:00Z,BATCH-SWIG-0004
PO_B10_000005,Razorpay Nodal,MMTR-INV-916414 PO_B10_000005,409782,7331,0,0,402451,INR,2026-08-12T12:45:00Z,BATCH-MMTR-0005
PO_B10_000006,Stripe India,MMTR-INV-546523 PO_B10_000006,160446,2965,0,0,157481,INR,2026-08-12T02:36:00Z,BATCH-MMTR-0006
PO_B10_000007,Stripe India,MMTR-INV-668296 PO_B10_000007,194892,4000,0,0,190892,INR,2026-08-12T02:07:00Z,BATCH-MMTR-0007
PO_B10_000008,Stripe India,OLAA-ORD-775360 OLAA-ORD-348128 OLAA-ORD-204015 BATCH-OLAA-0008,290829,5816,0,0,285013,INR,2026-08-11T23:45:00Z,BATCH-OLAA-0008
PO_B10_000009,BillDesk Settlement,JIOO-ORD-587582 JIOO-ORD-589432 BATCH-JIOO-0009,89857,1797,0,0,88060,INR,2026-08-12T17:47:00Z,BATCH-JIOO-0009
PO_B10_000010,Stripe India,AMZN-INV-606229 PO_B10_000010,215835,3946,0,0,211889,INR,2026-08-12T08:05:00Z,BATCH-AMZN-0010
PO_B10_000011,Cashfree Escrow,BLNK-INV-293940 PO_B10_000011,37182,712,0,0,36470,INR,2026-08-12T07:09:00Z,BATCH-BLNK-0011
PO_B10_000012,Razorpay Nodal,PHNP-INV-119745 PO_B10_000012,146945,2702,0,0,144243,INR,2026-08-11T21:06:00Z,BATCH-PHNP-0012
PO_B10_000013,PayU Enterprise,ZOMA-INV-249740 PO_B10_000013,403791,9261,0,0,394530,INR,2026-08-12T10:31:00Z,BATCH-ZOMA-0013
PO_B10_000014,Cashfree Escrow,BLNK-EXC-358819-UNRESOLVED,95258,1895,0,0,93363,INR,2026-08-12T09:13:00Z,HOLD-ESCROW
PO_B10_000015,Stripe India,BLNK-INV-333734 PO_B10_000015,287887,6676,0,0,281211,INR,2026-08-12T06:11:00Z,BATCH-BLNK-0015
PO_B10_000016,Razorpay Nodal,BBAS-INV-954151 PO_B10_000016,361853,6804,0,0,355049,INR,2026-08-12T11:04:00Z,BATCH-BBAS-0016
PO_B10_000017,Stripe India,UBER-INV-325150 PO_B10_000017,330218,6054,0,0,324164,INR,2026-08-11T22:54:00Z,BATCH-UBER-0017
PO_B10_000018,Cashfree Escrow,NYKA-ORD-425681 NYKA-ORD-551668 NYKA-ORD-919074 BATCH-NYKA-0018,335832,6716,0,0,329116,INR,2026-08-12T06:30:00Z,BATCH-NYKA-0018
