transaction_id,customer_reference,order_id,gross_amount_minor,net_amount_minor,currency,created_at,counterparty_name,payment_method,status
TXN_B12_000001,UBER-ORD-393035,ORD-UBER-ORD-393035,124101,121619,INR,2026-08-13T11:02:00Z,Uber India Systems Pvt Ltd,NetBanking,SETTLED
TXN_B12_000002,UBER-ORD-481852,ORD-UBER-ORD-481852,221447,217019,INR,2026-08-13T11:17:00Z,Uber India Systems Pvt Ltd,NetBanking,SETTLED
TXN_B12_000003,UBER-ORD-432163,ORD-UBER-ORD-432163,23281,22816,INR,2026-08-13T11:32:00Z,Uber India Systems Pvt Ltd,NetBanking,SETTLED
TXN_B12_000004,MYNT-INV-118689,ORD-MYNT-INV-118689,273422,267635,INR,2026-08-13T16:50:00Z,Myntra Designs Pvt Ltd,DebitCard,SETTLED
TXN_B12_000005,MMTR-INV-473748,ORD-MMTR-INV-473748,428097,417977,INR,2026-08-14T03:22:00Z,MakeMyTrip India Pvt Ltd,NetBanking,SETTLED
TXN_B12_000006,MMTR-ORD-794322,ORD-MMTR-ORD-794322,173638,170166,INR,2026-08-14T02:31:00Z,MakeMyTrip India Pvt Ltd,DebitCard,SETTLED
TXN_B12_000007,MMTR-ORD-217518,ORD-MMTR-ORD-217518,202181,198138,INR,2026-08-14T02:46:00Z,MakeMyTrip India Pvt Ltd,DebitCard,SETTLED
TXN_B12_000008,MMTR-ORD-696063,ORD-MMTR-ORD-696063,115901,113583,INR,2026-08-14T03:01:00Z,MakeMyTrip India Pvt Ltd,DebitCard,SETTLED
TXN_B12_000009,PAYT-INV-929897,ORD-PAYT-INV-929897,417848,409353,INR,2026-08-13T17:30:00Z,Paytm One97 Communications,DebitCard,SETTLED
TXN_B12_000010,FLPK-ORD-584568,ORD-FLPK-ORD-584568,216851,212514,INR,2026-08-14T05:11:00Z,Flipkart Internet Pvt Ltd,RTGS,SETTLED
TXN_B12_000011,FLPK-ORD-281293,ORD-FLPK-ORD-281293,35950,35231,INR,2026-08-14T05:26:00Z,Flipkart Internet Pvt Ltd,RTGS,SETTLED
TXN_B12_000012,ZOMA-INV-745598,ORD-ZOMA-INV-745598,300062,295259,INR,2026-08-14T01:03:00Z,Zomato Limited,UPI,SETTLED
TXN_B12_000013,PAYT-INV-349681,ORD-PAYT-INV-349681,406344,400134,INR,2026-08-13T22:43:00Z,Paytm One97 Communications,DebitCard,SETTLED
TXN_B12_000014,JIOO-EXC-558703,ORD-JIOO-EXC-558703,173766,170291,INR,2026-08-13T14:18:00Z,Reliance Retail / Jio Platforms,NEFT,PENDING
TXN_B12_000015,PAYT-INV-363230,ORD-PAYT-INV-363230,53978,52716,INR,2026-08-13T22:21:00Z,Paytm One97 Communications,CreditCard,SETTLED
TXN_B12_000016,MMTR-ORD-770655,ORD-MMTR-ORD-770655,126295,123770,INR,2026-08-13T15:53:00Z,MakeMyTrip India Pvt Ltd,NEFT,SETTLED
TXN_B12_000017,MMTR-ORD-902166,ORD-MMTR-ORD-902166,73879,72402,INR,2026-08-13T16:08:00Z,MakeMyTrip India Pvt Ltd,NEFT,SETTLED
TXN_B12_000018,MMTR-ORD-186092,ORD-MMTR-ORD-186092,33515,32845,INR,2026-08-13T16:23:00Z,MakeMyTrip India Pvt Ltd,NEFT,SETTLED
TXN_B12_000019,FLPK-ORD-197082,ORD-FLPK-ORD-197082,59810,58614,INR,2026-08-14T04:26:00Z,Flipkart Internet Pvt Ltd,RTGS,SETTLED
TXN_B12_000020,FLPK-ORD-311971,ORD-FLPK-ORD-311971,69428,68040,INR,2026-08-14T04:41:00Z,Flipkart Internet Pvt Ltd,RTGS,SETTLED
TXN_B12_000021,MYNT-ORD-155477,ORD-MYNT-ORD-155477,185612,181900,INR,2026-08-13T09:03:00Z,Myntra Designs Pvt Ltd,DebitCard,SETTLED
TXN_B12_000022,MYNT-ORD-192390,ORD-MYNT-ORD-192390,237086,232345,INR,2026-08-13T09:18:00Z,Myntra Designs Pvt Ltd,DebitCard,SETTLED
TXN_B12_000023,PHNP-INV-330084,ORD-PHNP-INV-330084,244712,240607,INR,2026-08-13T17:44:00Z,PhonePe Payment Services,UPI,SETTLED
TXN_B12_000024,JIOO-INV-648782,ORD-JIOO-INV-648782,412473,403488,INR,2026-08-14T03:44:00Z,Reliance Retail / Jio Platforms,DebitCard,SETTLED
TXN_B12_000025,NYKA-ORD-962259,ORD-NYKA-ORD-962259,111794,109559,INR,2026-08-14T06:38:00Z,Nykaa E-Retail Pvt Ltd,NetBanking,SETTLED
TXN_B12_000026,NYKA-ORD-862328,ORD-NYKA-ORD-862328,100458,98449,INR,2026-08-14T06:53:00Z,Nykaa E-Retail Pvt Ltd,NetBanking,SETTLED
TXN_B12_000027,NYKA-ORD-230947,ORD-NYKA-ORD-230947,35734,35020,INR,2026-08-14T07:08:00Z,Nykaa E-Retail Pvt Ltd,NetBanking,SETTLED
TXN_B12_000028,PHNP-EXC-435842,ORD-PHNP-EXC-435842,132488,129839,INR,2026-08-13T18:49:00Z,PhonePe Payment Services,RTGS,PENDING
TXN_B12_000029,PAYT-EXC-788262,ORD-PAYT-EXC-788262,53409,52341,INR,2026-08-14T00:18:00Z,Paytm One97 Communications,NEFT,PENDING
TXN_B12_000030,BBAS-INV-759725,ORD-BBAS-INV-759725,391735,384120,INR,2026-08-13T17:59:00Z,BigBasket Supermarket Grocery,UPI,SETTLED
TXN_B12_000031,OLAA-INV-224575,ORD-OLAA-INV-224575,57571,56239,INR,2026-08-13T16:56:00Z,Ola ANI Technologies,NetBanking,SETTLED
TXN_B12_000032,BKMS-INV-936203,ORD-BKMS-INV-936203,277150,271814,INR,2026-08-14T03:00:00Z,BookMyShow Bigtree Entertainment,UPI,SETTLED
TXN_B12_000033,TATA-ORD-457863,ORD-TATA-ORD-457863,76701,75167,INR,2026-08-14T08:12:00Z,Tata Digital Private Limited,UPI,SETTLED
TXN_B12_000034,TATA-ORD-582701,ORD-TATA-ORD-582701,39466,38677,INR,2026-08-14T08:27:00Z,Tata Digital Private Limited,UPI,SETTLED
TXN_B12_000035,MYNT-ORD-261112,ORD-MYNT-ORD-261112,172773,169318,INR,2026-08-13T11:38:00Z,Myntra Designs Pvt Ltd,RTGS,SETTLED
TXN_B12_000036,MYNT-ORD-589731,ORD-MYNT-ORD-589731,42892,42035,INR,2026-08-13T11:53:00Z,Myntra Designs Pvt Ltd,RTGS,SETTLED
TXN_B12_000037,MYNT-ORD-553437,ORD-MYNT-ORD-553437,146965,144026,INR,2026-08-13T12:08:00Z,Myntra Designs Pvt Ltd,RTGS,SETTLED
TXN_B12_000038,BLNK-ORD-793309,ORD-BLNK-ORD-793309,96060,94139,INR,2026-08-13T09:25:00Z,Blinkit Commerce Pvt Ltd,NetBanking,SETTLED
TXN_B12_000039,BLNK-ORD-490882,ORD-BLNK-ORD-490882,28294,27729,INR,2026-08-13T09:40:00Z,Blinkit Commerce Pvt Ltd,NetBanking,SETTLED
TXN_B12_000040,BLNK-ORD-661253,ORD-BLNK-ORD-661253,63541,62271,INR,2026-08-13T09:55:00Z,Blinkit Commerce Pvt Ltd,NetBanking,SETTLED
TXN_B12_000041,NYKA-INV-255831,ORD-NYKA-INV-255831,69042,67640,INR,2026-08-14T03:03:00Z,Nykaa E-Retail Pvt Ltd,UPI,SETTLED
TXN_B12_000042,BLNK-INV-576622,ORD-BLNK-INV-576622,246648,240937,INR,2026-08-13T21:58:00Z,Blinkit Commerce Pvt Ltd,UPI,SETTLED
TXN_B12_000043,ZOMA-ORD-926511,ORD-ZOMA-ORD-926511,81801,80165,INR,2026-08-14T06:18:00Z,Zomato Limited,NetBanking,SETTLED
TXN_B12_000044,ZOMA-ORD-206518,ORD-ZOMA-ORD-206518,168063,164702,INR,2026-08-14T06:33:00Z,Zomato Limited,NetBanking,SETTLED
TXN_B12_000045,TATA-INV-208284,ORD-TATA-INV-208284,103066,100532,INR,2026-08-13T16:00:00Z,Tata Digital Private Limited,DebitCard,SETTLED
TXN_B12_000046,AMZN-INV-763673,ORD-AMZN-INV-763673,419805,409349,INR,2026-08-13T09:41:00Z,Amazon Seller Services India,RTGS,SETTLED
TXN_B12_000047,MYNT-INV-125712,ORD-MYNT-INV-125712,167162,163670,INR,2026-08-14T05:01:00Z,Myntra Designs Pvt Ltd,NEFT,SETTLED
TXN_B12_000048,BLNK-INV-170180,ORD-BLNK-INV-170180,287398,281360,INR,2026-08-13T18:00:00Z,Blinkit Commerce Pvt Ltd,NetBanking,SETTLED
TXN_B12_000049,PAYT-EXC-629091,ORD-PAYT-EXC-629091,196355,192428,INR,2026-08-13T19:57:00Z,Paytm One97 Communications,RTGS,PENDING
TXN_B12_000050,FLPK-INV-698347,ORD-FLPK-INV-698347,350245,341856,INR,2026-08-13T14:58:00Z,Flipkart Internet Pvt Ltd,DebitCard,SETTLED
TXN_B12_000051,TATA-INV-108531,ORD-TATA-INV-108531,246910,241061,INR,2026-08-13T13:47:00Z,Tata Digital Private Limited,RTGS,SETTLED
TXN_B12_000052,AMZN-INV-105614,ORD-AMZN-INV-105614,434318,425774,INR,2026-08-13T17:55:00Z,Amazon Seller Services India,CreditCard,SETTLED
TXN_B12_000053,PHNP-INV-216637,ORD-PHNP-INV-216637,239447,233979,INR,2026-08-14T00:42:00Z,PhonePe Payment Services,NEFT,SETTLED
TXN_B12_000054,TATA-INV-584159,ORD-TATA-INV-584159,29520,29049,INR,2026-08-13T12:53:00Z,Tata Digital Private Limited,NEFT,SETTLED
TXN_B12_000055,MYNT-INV-958638,ORD-MYNT-INV-958638,375936,370122,INR,2026-08-14T05:17:00Z,Myntra Designs Pvt Ltd,UPI,SETTLED
TXN_B12_000056,PHNP-INV-445184,ORD-PHNP-INV-445184,326748,320402,INR,2026-08-13T14:31:00Z,PhonePe Payment Services,CreditCard,SETTLED
TXN_B12_000057,BLNK-INV-841369,ORD-BLNK-INV-841369,86119,84683,INR,2026-08-14T02:35:00Z,Blinkit Commerce Pvt Ltd,DebitCard,SETTLED
TXN_B12_000058,ZOMA-INV-548629,ORD-ZOMA-INV-548629,381322,374687,INR,2026-08-13T18:38:00Z,Zomato Limited,RTGS,SETTLED
