bank_entry_id,bank_reference,narration,credit_amount_minor,debit_amount_minor,currency,value_date,settlement_timestamp
BNK_3201,NEFT/ICIC/RZP-SPLIT-947903/PART1,NEFT/RZP-SPLIT-947903/PART1/TATA,77753,0,INR,2026-03-19,2026-03-19T06:19:00+00:00
BNK_3177,CMS/UTIB/RZP-PO-498676,NEFT/RZP-PO-498676/SETTL/AMZN,175274,0,INR,2026-03-15,2026-03-15T11:08:00+00:00
BNK_3113,NEFT/YESB/RZP-SPLIT-380028/PART1,NEFT/RZP-SPLIT-380028/PART1/TATA,90630,0,INR,2026-03-16,2026-03-16T00:13:00+00:00
BNK_3003,CMS/HDFC/RZP-PO-131244,CMS/RZP-PO-131244/RELI,35700,0,INR,2026-03-20,2026-03-20T10:02:00+00:00
BNK_3208,CMS/ICIC/RZP-PO-335445,NEFT/RZP-PO-335445/SETTL/BLNK,13895,0,INR,2026-03-14,2026-03-14T04:23:00+00:00
BNK_3022,NEFT/HDFC/RZP-SPLIT-972064/PART2,NEFT/RZP-SPLIT-972064/PART2/TATA,51823,0,INR,2026-03-05,2026-03-05T14:56:00+00:00
BNK_3314,CMS/KKBK/RZP-PO-749887,CMS/RZP-PO-749887/FLIP,177500,0,INR,2026-03-06,2026-03-06T08:12:00+00:00
BNK_3167,NEFT/KKBK/RZP-SPLIT-386544/PART2,NEFT/RZP-SPLIT-386544/PART2/AMZN,115278,0,INR,2026-03-10,2026-03-10T03:11:00+00:00
BNK_3016,CMS/YESB/RZP-PO-503457,CMS/RZP-PO-503457/SWIG,130040,0,INR,2026-03-16,2026-03-16T09:04:00+00:00
BNK_3109,CMS/UTIB/RZP-DUP-519904,CMS/RZP-DUP-519904/BLNK,185250,0,INR,2026-03-17,2026-03-17T03:42:00+00:00
BNK_3020,NEFT/SBIN/RZP-SPLIT-656116/PART2,NEFT/RZP-SPLIT-656116/PART2/SWIG,2539,0,INR,2026-03-07,2026-03-07T20:49:00+00:00
BNK_3324,CMS/ICIC/RZP-PO-764693,CMS/RZP-PO-764693/UBER,55550,0,INR,2026-03-15,2026-03-15T03:50:00+00:00
BNK_3242,CMS/HDFC/RZP-REV-704788,CMS/RZP-REV-704788/ADJUSTED/AMZN,71542,0,INR,2026-03-04,2026-03-04T05:49:00+00:00
BNK_3340,RTGS/YESB/RZP-BATCH-125755,RTGS/RZP-BATCH-125755/MERCHANT-SETTLE,91297,0,INR,2026-03-18,2026-03-18T17:22:00+00:00
BNK_3218,RTGS/ICIC/RZP-BATCH-579911,RTGS/RZP-BATCH-579911/MERCHANT-SETTLE,208731,0,INR,2026-03-05,2026-03-05T11:49:00+00:00
BNK_3063,CMS/HDFC/RZP-REV-740967,CMS/RZP-REV-740967/ADJUSTED/SWIG,22511,0,INR,2026-03-03,2026-03-03T16:30:00+00:00
BNK_3322,CMS/UTIB/RZP-PO-679902,CMS/RZP-PO-679902/UBER,128010,0,INR,2026-03-17,2026-03-17T10:22:00+00:00
BNK_3204,NEFT/KKBK/RZP-DELAY-309398,NEFT/RZP-DELAY-309398/RELI,203130,0,INR,2026-03-19,2026-03-19T19:52:00+00:00
BNK_3137,NEFT/KKBK/RZP-DELAY-299367,NEFT/RZP-DELAY-299367/ZOMA,208450,0,INR,2026-03-17,2026-03-17T21:40:00+00:00
BNK_3011,UPI/8645**/KKBK,UPI/CR/8645**/FLIPPAY/0039482710/RZPNOISY864544,83506,0,INR,2026-03-22,2026-03-22T04:34:00+00:00
BNK_3391,UPI/1128**/YESB,UPI/CR/1128**/ZOMAPAY/0039482710/RZPNOISY112884,83428,0,INR,2026-03-17,2026-03-17T23:02:00+00:00
BNK_3284,RTGS/YESB/RZP-BATCH-691573,RTGS/RZP-BATCH-691573/MERCHANT-SETTLE,178988,0,INR,2026-03-13,2026-03-13T20:58:00+00:00
BNK_3189,CMS/YESB/RZP-REV-280941,CMS/RZP-REV-280941/ADJUSTED/BLNK,13900,0,INR,2026-03-05,2026-03-05T01:41:00+00:00
BNK_3277,NEFT/SBIN/RZP-DELAY-111991,NEFT/RZP-DELAY-111991/BLNK,90700,0,INR,2026-03-25,2026-03-25T13:36:00+00:00
BNK_3123,CMS/HDFC/RZP-DUP-839485,CMS/RZP-DUP-839485/MYNT,129920,0,INR,2026-03-12,2026-03-12T17:30:00+00:00
BNK_3296,CMS/YESB/RZP-PO-415098,NEFT/RZP-PO-415098/SETTL/SWIG,92915,0,INR,2026-03-18,2026-03-18T07:26:00+00:00
BNK_3018,NEFT/HDFC/RZP-DELAY-769987,NEFT/RZP-DELAY-769987/RELI,171350,0,INR,2026-03-26,2026-03-26T23:53:00+00:00
BNK_3009,NEFT/ICIC/RZP-SPLIT-802729/PART1,NEFT/RZP-SPLIT-802729/PART1/BLNK,45315,0,INR,2026-03-13,2026-03-13T10:13:00+00:00
