payout_id,gateway_reference,gross_amount_minor,processing_fee_minor,refund_amount_minor,chargeback_amount_minor,net_settlement_amount_minor,currency,settlement_timestamp,batch_token
PO_2303,RZP-PO-275329,147430,0,0,0,147430,INR,2026-03-16T23:04:00+00:00,BATCH-275329
PO_2327,RZP-PO-608149,49730,0,0,0,49730,INR,2026-03-03T04:00:00+00:00,BATCH-608149
PO_2186,RZP-REV-571145,173210,3464,25981,8660,135105,INR,2026-03-04T08:17:00+00:00,REV-571145
PO_2037,RZP-REV-221035,40070,801,6010,2003,31256,INR,2026-03-05T07:16:00+00:00,REV-221035
PO_2297,RZP-NOISY-358421,238670,4773,0,0,233897,INR,2026-03-21T04:51:00+00:00,NOISE-358421
PO_2149,RZP-PO-335137,40460,0,0,0,40460,INR,2026-03-06T19:30:00+00:00,BATCH-335137
PO_2178,RZP-PO-609892,67910,0,0,0,67910,INR,2026-03-08T04:49:00+00:00,BATCH-609892
PO_2256,RZP-SPLIT-884056,203480,4069,0,0,199411,INR,2026-03-17T01:29:00+00:00,SPLIT-884056
PO_2172,RZP-PO-266457,124240,0,0,0,124240,INR,2026-03-18T14:39:00+00:00,BATCH-266457
PO_2283,RZP-BATCH-341192,381410,7628,0,0,373782,INR,2026-03-06T10:21:00+00:00,BATCH-CONSOL-341192
PO_2193,RZP-PO-640410,193430,0,0,0,193430,INR,2026-03-18T18:40:00+00:00,BATCH-640410
PO_2240,RZP-DELAY-465746,188660,0,0,0,188660,INR,2026-03-20T22:30:00+00:00,DELAY-465746
PO_2231,RZP-PO-270395,133760,0,0,0,133760,INR,2026-03-13T01:20:00+00:00,BATCH-270395
PO_2222,RZP-BATCH-411882,87830,1756,0,0,86074,INR,2026-03-10T16:25:00+00:00,BATCH-CONSOL-411882
PO_2113,RZP-PO-786587,55580,0,0,0,55580,INR,2026-03-06T02:55:00+00:00,BATCH-786587
PO_2184,RZP-DELAY-309398,203130,0,0,0,203130,INR,2026-03-18T17:52:00+00:00,DELAY-309398
PO_2083,RZP-PO-874483,163660,0,0,0,163660,INR,2026-03-07T01:13:00+00:00,BATCH-874483
PO_2343,RZP-BATCH-238320,226600,4531,0,0,222069,INR,2026-03-09T00:58:00+00:00,BATCH-CONSOL-238320
PO_2352,RZP-PO-297810,133360,0,0,0,133360,INR,2026-03-18T15:32:00+00:00,BATCH-297810
PO_2035,RZP-BATCH-204837,404950,8098,0,0,396852,INR,2026-03-16T22:36:00+00:00,BATCH-CONSOL-204837
PO_2318,RZP-REV-447067,188450,3769,28267,9422,146992,INR,2026-03-07T20:10:00+00:00,REV-447067
PO_2135,RZP-NOISY-232040,190000,3800,0,0,186200,INR,2026-03-03T05:15:00+00:00,NOISE-232040
PO_2298,RZP-PO-764693,55550,0,0,0,55550,INR,2026-03-14T21:50:00+00:00,BATCH-764693
PO_2004,RZP-PO-498382,36690,865,0,0,35825,INR,2026-03-12T03:05:00+00:00,BATCH-498382
PO_2217,RZP-PO-272655,58070,1370,0,0,56700,INR,2026-03-18T03:19:00+00:00,BATCH-272655
PO_2287,RZP-PO-117975,169560,4001,0,0,165559,INR,2026-03-10T19:18:00+00:00,BATCH-117975
PO_2075,RZP-PO-556641,62710,1479,0,0,61231,INR,2026-03-17T03:09:00+00:00,BATCH-556641
PO_2080,RZP-BATCH-614663,120450,2409,0,0,118041,INR,2026-03-17T19:45:00+00:00,BATCH-CONSOL-614663
PO_2341,RZP-PO-693643,164030,0,0,0,164030,INR,2026-03-19T15:08:00+00:00,BATCH-693643
PO_2018,RZP-PO-609597,27670,0,0,0,27670,INR,2026-03-04T06:46:00+00:00,BATCH-609597
PO_2107,RZP-REV-502219,67450,1349,10117,3372,52612,INR,2026-03-16T20:09:00+00:00,REV-502219
PO_2072,RZP-NOISY-824161,210530,4210,0,0,206320,INR,2026-03-07T21:37:00+00:00,NOISE-824161
PO_2095,RZP-DELAY-230394,158580,0,0,0,158580,INR,2026-03-23T21:28:00+00:00,DELAY-230394
PO_2233,RZP-BATCH-214928,386920,7736,0,0,379184,INR,2026-03-13T16:43:00+00:00,BATCH-CONSOL-214928
PO_2237,RZP-DELAY-643878,72940,0,0,0,72940,INR,2026-03-07T10:08:00+00:00,DELAY-643878
PO_2248,RZP-PO-576419,215140,0,0,0,215140,INR,2026-03-05T14:18:00+00:00,BATCH-576419
PO_2060,AMBIG-PO-768636,95860,0,0,0,95860,INR,2026-03-10T00:53:00+00:00,
PO_2279,RZP-PO-515898,83420,0,0,0,83420,INR,2026-03-22T02:13:00+00:00,BATCH-515898
PO_2038,RZP-DELAY-852470,117350,0,0,0,117350,INR,2026-03-15T07:13:00+00:00,DELAY-852470
PO_2101,RZP-PO-910075,137440,0,0,0,137440,INR,2026-03-10T13:07:00+00:00,BATCH-910075
PO_2205,RZP-BATCH-387892,182510,3650,0,0,178860,INR,2026-03-13T18:27:00+00:00,BATCH-CONSOL-387892
PO_2053,RZP-DELAY-674553,5130,0,0,0,5130,INR,2026-03-23T21:25:00+00:00,DELAY-674553
PO_2054,RZP-PO-437902,157360,3713,0,0,153647,INR,2026-03-20T22:41:00+00:00,BATCH-437902
PO_2194,RZP-PO-698384,141500,0,0,0,141500,INR,2026-03-21T03:15:00+00:00,BATCH-698384
PO_2093,RZP-NOISY-307428,144300,2886,0,0,141414,INR,2026-03-20T16:51:00+00:00,NOISE-307428
PO_2254,RZP-SPLIT-267475,137840,2756,0,0,135084,INR,2026-03-05T11:19:00+00:00,SPLIT-267475
PO_2309,RZP-ORPHAN-958747,139060,0,0,0,139060,INR,2026-03-11T07:04:00+00:00,ORPHAN-958747
PO_2013,RZP-PO-503457,130040,0,0,0,130040,INR,2026-03-16T01:04:00+00:00,BATCH-503457
PO_2288,RZP-PO-749887,177500,0,0,0,177500,INR,2026-03-06T02:12:00+00:00,BATCH-749887
PO_2112,RZP-PO-718849,113780,2685,0,0,111095,INR,2026-03-02T20:32:00+00:00,BATCH-718849
PO_2271,RZP-ORPHAN-149161,117850,0,0,0,117850,INR,2026-03-15T02:31:00+00:00,ORPHAN-149161
PO_2094,RZP-PO-249145,28390,0,0,0,28390,INR,2026-03-05T20:52:00+00:00,BATCH-249145
PO_2066,RZP-REV-513160,198950,3979,29842,9947,155182,INR,2026-03-19T03:58:00+00:00,REV-513160
PO_2218,RZP-PO-765905,185490,4377,0,0,181113,INR,2026-03-04T05:12:00+00:00,BATCH-765905
PO_2241,RZP-ORPHAN-669576,129410,0,0,0,129410,INR,2026-03-05T03:43:00+00:00,ORPHAN-669576
PO_2213,RZP-USD-680933,2500,0,0,0,2500,USD,2026-03-16T21:23:00+00:00,USD-680933
PO_2123,RZP-BATCH-790203,328580,6571,0,0,322009,INR,2026-03-10T21:53:00+00:00,BATCH-CONSOL-790203
PO_2284,RZP-BATCH-612036,169120,3380,0,0,165740,INR,2026-03-07T16:34:00+00:00,BATCH-CONSOL-612036
PO_2307,RZP-ERR-924040,133750,0,0,0,133750,INR,2026-03-13T23:52:00+00:00,ERR-924040
PO_2157,RZP-PO-799539,106060,2503,0,0,103557,INR,2026-03-20T05:33:00+00:00,BATCH-799539
PO_2296,RZP-PO-679902,128010,0,0,0,128010,INR,2026-03-17T07:22:00+00:00,BATCH-679902
PO_2281,RZP-PO-898625,109930,2594,0,0,107336,INR,2026-03-05T18:30:00+00:00,BATCH-898625
PO_2061,RZP-DELAY-561239,30380,0,0,0,30380,INR,2026-03-25T19:17:00+00:00,DELAY-561239
PO_2132,RZP-PO-346205,181140,0,0,0,181140,INR,2026-03-16T18:06:00+00:00,BATCH-346205
PO_2006,RZP-BATCH-172933,355950,7118,0,0,348832,INR,2026-03-20T10:45:00+00:00,BATCH-CONSOL-172933
PO_2009,RZP-PO-330283,229330,0,0,0,229330,INR,2026-03-22T19:35:00+00:00,BATCH-330283
PO_2228,RZP-BATCH-628750,293980,5878,0,0,288102,INR,2026-03-11T07:24:00+00:00,BATCH-CONSOL-628750
PO_2126,RZP-BATCH-535686,278450,5568,0,0,272882,INR,2026-03-11T11:47:00+00:00,BATCH-CONSOL-535686
PO_2236,RZP-PO-824042,71810,0,0,0,71810,INR,2026-03-15T04:26:00+00:00,BATCH-824042
PO_2262,RZP-PO-595002,15390,363,0,0,15027,INR,2026-03-03T00:59:00+00:00,BATCH-595002
PO_2355,RZP-SPLIT-163406,135400,2708,0,0,132692,INR,2026-03-07T22:59:00+00:00,SPLIT-163406
PO_2148,RZP-PO-401601,201740,0,0,0,201740,INR,2026-03-15T19:03:00+00:00,BATCH-401601
PO_2040,RZP-PO-237174,213760,5044,0,0,208716,INR,2026-03-02T07:49:00+00:00,BATCH-237174
PO_2045,RZP-PO-925622,234790,0,0,0,234790,INR,2026-03-08T22:10:00+00:00,BATCH-925622
PO_2319,RZP-PO-295440,214870,5070,0,0,209800,INR,2026-03-14T22:11:00+00:00,BATCH-295440
PO_2032,RZP-SPLIT-707040,199810,3996,0,0,195814,INR,2026-03-05T15:15:00+00:00,SPLIT-707040
PO_2314,RZP-PO-331768,151070,0,0,0,151070,INR,2026-03-20T20:36:00+00:00,BATCH-331768
PO_2253,RZP-DELAY-111991,90700,0,0,0,90700,INR,2026-03-24T11:36:00+00:00,DELAY-111991
PO_2162,RZP-PO-649414,30770,726,0,0,30044,INR,2026-03-15T19:25:00+00:00,BATCH-649414
PO_2257,RZP-PO-329021,86080,2031,0,0,84049,INR,2026-03-20T05:52:00+00:00,BATCH-329021
PO_2042,RZP-ORPHAN-679364,53520,0,0,0,53520,INR,2026-03-02T20:37:00+00:00,ORPHAN-679364
PO_2225,RZP-PO-423528,167970,0,0,0,167970,INR,2026-03-18T01:31:00+00:00,BATCH-423528
PO_2048,RZP-BATCH-373903,244120,4880,0,0,239240,INR,2026-03-02T08:56:00+00:00,BATCH-CONSOL-373903
PO_2268,RZP-DELAY-891030,23490,0,0,0,23490,INR,2026-03-13T05:13:00+00:00,DELAY-891030
PO_2325,RZP-PO-244564,193350,4563,0,0,188787,INR,2026-03-14T14:38:00+00:00,BATCH-244564
PO_2286,RZP-SPLIT-658065,185760,3715,0,0,182045,INR,2026-03-16T21:00:00+00:00,SPLIT-658065
PO_2359,RZP-PO-275073,126850,0,0,0,126850,INR,2026-03-18T14:16:00+00:00,BATCH-275073
PO_2139,RZP-DELAY-915809,123630,0,0,0,123630,INR,2026-03-08T03:28:00+00:00,DELAY-915809
PO_2195,RZP-NOISY-631971,171330,3426,0,0,167904,INR,2026-03-04T11:34:00+00:00,NOISE-631971
PO_2145,RZP-PO-427730,144840,3418,0,0,141422,INR,2026-03-15T22:06:00+00:00,BATCH-427730
PO_2187,RZP-PO-466566,13730,0,0,0,13730,INR,2026-03-09T14:56:00+00:00,BATCH-466566
PO_2363,RZP-NOISY-112884,85130,1702,0,0,83428,INR,2026-03-17T19:02:00+00:00,NOISE-112884
PO_2266,RZP-BATCH-389039,357290,7144,0,0,350146,INR,2026-03-17T08:09:00+00:00,BATCH-CONSOL-389039
PO_2235,RZP-DELAY-834549,41010,0,0,0,41010,INR,2026-03-12T13:36:00+00:00,DELAY-834549
PO_2151,RZP-SPLIT-386544,235260,4705,0,0,230555,INR,2026-03-09T21:11:00+00:00,SPLIT-386544
PO_2261,RZP-BATCH-515182,53660,1073,0,0,52587,INR,2026-03-12T19:01:00+00:00,BATCH-CONSOL-515182
PO_2012,RZP-BATCH-711878,236330,4726,0,0,231604,INR,2026-03-20T17:57:00+00:00,BATCH-CONSOL-711878
PO_2125,RZP-PO-141337,106230,0,0,0,106230,INR,2026-03-05T21:41:00+00:00,BATCH-141337
PO_2021,RZP-PO-167136,115780,2732,0,0,113048,INR,2026-03-04T20:14:00+00:00,BATCH-167136
PO_2276,RZP-NOISY-734356,202560,4051,0,0,198509,INR,2026-03-10T07:43:00+00:00,NOISE-734356
PO_2345,RZP-SPLIT-239145,199530,3990,0,0,195540,INR,2026-03-08T12:04:00+00:00,SPLIT-239145
PO_2022,RZP-BATCH-761759,22740,454,0,0,22286,INR,2026-03-02T01:45:00+00:00,BATCH-CONSOL-761759
PO_2357,RZP-BATCH-774396,104270,2084,0,0,102186,INR,2026-03-23T15:43:00+00:00,BATCH-CONSOL-774396
