bank_entry_id,bank_reference,narration,credit_amount_minor,debit_amount_minor,currency,value_date,settlement_timestamp
BNK_3276,CMS/YESB/RZP-PO-748305,CMS/RZP-PO-748305/ZOMA,80800,0,INR,2026-03-12,2026-03-12T16:00:00+00:00
BNK_3187,RTGS/HDFC/RZP-BATCH-341063,RTGS/RZP-BATCH-341063/MERCHANT-SETTLE,171540,0,INR,2026-03-09,2026-03-09T18:48:00+00:00
BNK_3292,CMS/KKBK/RZP-PO-633032,CMS/RZP-PO-633032/UBER,8680,0,INR,2026-03-04,2026-03-04T15:27:00+00:00
BNK_3176,CMS/KKBK/RZP-PO-411487,NEFT/RZP-PO-411487/SETTL/NYKA,141198,0,INR,2026-03-17,2026-03-17T18:35:00+00:00
BNK_3284,CMS/UTIB/RZP-PO-590589,CMS/RZP-PO-590589/RELI,159300,0,INR,2026-03-12,2026-03-12T12:53:00+00:00
BNK_3255,RTGS/HDFC/RZP-BATCH-793488,RTGS/RZP-BATCH-793488/MERCHANT-SETTLE,274617,0,INR,2026-03-22,2026-03-22T20:46:00+00:00
BNK_3383,CMS/SBIN/RZP-REV-753342,CMS/RZP-REV-753342/ADJUSTED/MYNT,80692,0,INR,2026-03-19,2026-03-19T11:22:00+00:00
BNK_3068,CMS/KKBK/RZP-PO-293690,CMS/RZP-PO-293690/MYNT,30290,0,INR,2026-03-08,2026-03-08T17:05:00+00:00
BNK_3263,CMS/ICIC/RZP-PO-794394,CMS/RZP-PO-794394/RELI,81620,0,INR,2026-03-13,2026-03-13T13:42:00+00:00
BNK_3129,UPI/7367**/HDFC,UPI/CR/7367**/MYNTPAY/0039482710/RZPNOISY736765,107026,0,INR,2026-03-18,2026-03-18T17:35:00+00:00
BNK_3386,CMS/SBIN/RZP-PO-294193,NEFT/RZP-PO-294193/SETTL/AMZN,107375,0,INR,2026-03-05,2026-03-05T12:27:00+00:00
BNK_3300,CMS/HDFC/RZP-PO-223572,NEFT/RZP-PO-223572/SETTL/TATA,22760,0,INR,2026-03-02,2026-03-02T09:07:00+00:00
BNK_3396,CMS/KKBK/RZP-PO-218675,CMS/RZP-PO-218675/NYKA,13540,0,INR,2026-03-19,2026-03-19T14:17:00+00:00
BNK_3349,CMS/YESB/RZP-PO-271634,NEFT/RZP-PO-271634/SETTL/MYNT,162639,0,INR,2026-03-02,2026-03-02T05:52:00+00:00
