payout_id,gateway_reference,gross_amount_minor,processing_fee_minor,refund_amount_minor,chargeback_amount_minor,net_settlement_amount_minor,currency,settlement_timestamp,batch_token
PO_2293,RZP-PO-120935,9500,0,0,0,9500,INR,2026-03-17T10:19:00+00:00,BATCH-120935
PO_2009,RZP-BATCH-455188,86820,1735,0,0,85085,INR,2026-03-09T13:37:00+00:00,BATCH-CONSOL-455188
PO_2314,RZP-DELAY-175618,166080,0,0,0,166080,INR,2026-03-10T00:47:00+00:00,DELAY-175618
PO_2118,RZP-PO-167234,78610,1855,0,0,76755,INR,2026-03-13T04:46:00+00:00,BATCH-167234
PO_2047,RZP-PO-596086,104470,0,0,0,104470,INR,2026-03-10T02:36:00+00:00,BATCH-596086
PO_2001,RZP-DELAY-606866,48270,0,0,0,48270,INR,2026-03-24T05:31:00+00:00,DELAY-606866
PO_2181,RZP-DELAY-561419,117480,0,0,0,117480,INR,2026-03-09T18:16:00+00:00,DELAY-561419
PO_2079,RZP-BATCH-371696,302180,6042,0,0,296138,INR,2026-03-13T20:25:00+00:00,BATCH-CONSOL-371696
PO_2005,RZP-ERR-830125,248940,0,0,0,248940,INR,2026-03-21T05:57:00+00:00,ERR-830125
PO_2243,RZP-PO-634156,130930,3089,0,0,127841,INR,2026-03-18T06:13:00+00:00,BATCH-634156
PO_2173,RZP-BATCH-930772,353210,7063,0,0,346147,INR,2026-03-11T01:17:00+00:00,BATCH-CONSOL-930772
PO_2133,RZP-NOISY-959704,62990,1259,0,0,61731,INR,2026-03-22T16:25:00+00:00,NOISE-959704
PO_2336,RZP-BATCH-870987,193490,3869,0,0,189621,INR,2026-03-19T12:49:00+00:00,BATCH-CONSOL-870987
PO_2378,RZP-PO-562265,166070,0,0,0,166070,INR,2026-03-22T07:58:00+00:00,BATCH-562265
PO_2372,RZP-PO-870597,47690,0,0,0,47690,INR,2026-03-02T19:33:00+00:00,BATCH-870597
PO_2121,RZP-PO-388808,173390,0,0,0,173390,INR,2026-03-21T11:29:00+00:00,BATCH-388808
PO_2359,RZP-DUP-337159,205470,0,0,0,205470,INR,2026-03-03T16:28:00+00:00,DUP-337159
PO_2055,RZP-PO-359744,113450,2677,0,0,110773,INR,2026-03-06T08:25:00+00:00,BATCH-359744
PO_2268,AMBIG-PO-164434,46140,0,0,0,46140,INR,2026-03-13T07:28:00+00:00,
PO_2211,RZP-DUP-926185,50640,0,0,0,50640,INR,2026-03-19T02:40:00+00:00,DUP-926185
PO_2198,RZP-SPLIT-497237,165460,3309,0,0,162151,INR,2026-03-19T18:29:00+00:00,SPLIT-497237
PO_2367,RZP-PO-294193,109970,2595,0,0,107375,INR,2026-03-05T03:27:00+00:00,BATCH-294193
PO_2309,RZP-BATCH-247177,159950,3198,0,0,156752,INR,2026-03-04T11:29:00+00:00,BATCH-CONSOL-247177
PO_2144,RZP-PO-214955,176390,0,0,0,176390,INR,2026-03-08T14:03:00+00:00,BATCH-214955
PO_2350,RZP-PO-206817,124590,0,0,0,124590,INR,2026-03-11T00:10:00+00:00,BATCH-206817
PO_2045,RZP-PO-532160,178040,4201,0,0,173839,INR,2026-03-11T04:03:00+00:00,BATCH-532160
PO_2297,RZP-PO-737265,125780,0,0,0,125780,INR,2026-03-17T07:15:00+00:00,BATCH-737265
PO_2125,RZP-NOISY-736765,109210,2184,0,0,107026,INR,2026-03-18T13:35:00+00:00,NOISE-736765
PO_2196,RZP-ORPHAN-765260,211710,0,0,0,211710,INR,2026-03-18T12:09:00+00:00,ORPHAN-765260
PO_2080,RZP-PO-140476,47170,1113,0,0,46057,INR,2026-03-18T02:46:00+00:00,BATCH-140476
PO_2191,RZP-DELAY-699311,96040,0,0,0,96040,INR,2026-03-19T11:44:00+00:00,DELAY-699311
PO_2282,RZP-PO-768017,84050,0,0,0,84050,INR,2026-03-08T20:03:00+00:00,BATCH-768017
PO_2159,RZP-PO-522474,146030,3446,0,0,142584,INR,2026-03-21T12:21:00+00:00,BATCH-522474
PO_2229,RZP-NOISY-573961,130500,2610,0,0,127890,INR,2026-03-15T22:34:00+00:00,NOISE-573961
PO_2230,RZP-SPLIT-761683,226890,4537,0,0,222353,INR,2026-03-02T15:39:00+00:00,SPLIT-761683
PO_2049,RZP-BATCH-969948,308360,6166,0,0,302194,INR,2026-03-14T07:33:00+00:00,BATCH-CONSOL-969948
PO_2103,AMBIG-PO-599470,48900,0,0,0,48900,INR,2026-03-14T17:14:00+00:00,
PO_2339,RZP-PO-625820,31770,749,0,0,31021,INR,2026-03-12T11:49:00+00:00,BATCH-625820
PO_2085,RZP-REV-651936,177780,3555,26667,8889,138669,INR,2026-03-22T06:28:00+00:00,REV-651936
PO_2299,RZP-PO-901145,134920,0,0,0,134920,INR,2026-03-12T14:40:00+00:00,BATCH-901145
PO_2209,RZP-PO-844484,136480,3220,0,0,133260,INR,2026-03-05T03:25:00+00:00,BATCH-844484
PO_2256,RZP-BATCH-917341,95850,1916,0,0,93934,INR,2026-03-21T16:26:00+00:00,BATCH-CONSOL-917341
PO_2124,RZP-PO-190252,199460,0,0,0,199460,INR,2026-03-10T01:21:00+00:00,BATCH-190252
PO_2141,RZP-PO-873912,152630,3602,0,0,149028,INR,2026-03-22T16:39:00+00:00,BATCH-873912
PO_2038,RZP-SPLIT-734616,204030,4080,0,0,199950,INR,2026-03-04T13:47:00+00:00,SPLIT-734616
PO_2148,RZP-PO-800675,142410,0,0,0,142410,INR,2026-03-08T08:06:00+00:00,BATCH-800675
PO_2109,RZP-DELAY-841970,183500,0,0,0,183500,INR,2026-03-11T05:57:00+00:00,DELAY-841970
PO_2380,RZP-DUP-634617,201330,0,0,0,201330,INR,2026-03-18T22:07:00+00:00,DUP-634617
PO_2186,RZP-REV-522017,238260,4765,35739,11913,185843,INR,2026-03-09T07:02:00+00:00,REV-522017
PO_2324,RZP-REV-937077,52960,1059,7944,2648,41309,INR,2026-03-13T13:26:00+00:00,REV-937077
PO_2335,RZP-REV-901798,109470,2189,16420,5473,85388,INR,2026-03-05T23:32:00+00:00,REV-901798
PO_2331,RZP-BATCH-640824,322360,6446,0,0,315914,INR,2026-03-15T19:34:00+00:00,BATCH-CONSOL-640824
PO_2285,RZP-DUP-403567,31250,0,0,0,31250,INR,2026-03-21T02:21:00+00:00,DUP-403567
PO_2032,RZP-PO-309850,216800,5116,0,0,211684,INR,2026-03-12T12:30:00+00:00,BATCH-309850
PO_2303,RZP-PO-643846,95880,0,0,0,95880,INR,2026-03-13T06:02:00+00:00,BATCH-643846
PO_2383,RZP-PO-622632,197880,4669,0,0,193211,INR,2026-03-10T23:44:00+00:00,BATCH-622632
PO_2142,RZP-PO-643600,80680,0,0,0,80680,INR,2026-03-14T00:47:00+00:00,BATCH-643600
PO_2284,RZP-NOISY-705309,130120,2602,0,0,127518,INR,2026-03-01T21:46:00+00:00,NOISE-705309
PO_2176,RZP-BATCH-224429,172390,3447,0,0,168943,INR,2026-03-18T21:33:00+00:00,BATCH-CONSOL-224429
PO_2205,RZP-DELAY-135798,5850,0,0,0,5850,INR,2026-03-16T17:25:00+00:00,DELAY-135798
PO_2155,RZP-PO-175347,89600,0,0,0,89600,INR,2026-03-04T08:13:00+00:00,BATCH-175347
PO_2017,RZP-PO-452665,140100,3306,0,0,136794,INR,2026-03-20T13:06:00+00:00,BATCH-452665
PO_2167,RZP-SPLIT-779984,41860,837,0,0,41023,INR,2026-03-22T20:59:00+00:00,SPLIT-779984
PO_2066,RZP-BATCH-343564,310920,6217,0,0,304703,INR,2026-03-11T02:46:00+00:00,BATCH-CONSOL-343564
PO_2111,RZP-ERR-285532,89900,0,0,0,89900,INR,2026-03-15T12:43:00+00:00,ERR-285532
PO_2274,RZP-DELAY-935727,72030,0,0,0,72030,INR,2026-03-10T13:29:00+00:00,DELAY-935727
PO_2139,RZP-BATCH-636155,201440,4027,0,0,197413,INR,2026-03-09T13:41:00+00:00,BATCH-CONSOL-636155
PO_2117,RZP-BATCH-627874,196790,3935,0,0,192855,INR,2026-03-18T09:12:00+00:00,BATCH-CONSOL-627874
PO_2258,RZP-PO-826793,200720,4736,0,0,195984,INR,2026-03-10T17:04:00+00:00,BATCH-826793
PO_2119,RZP-BATCH-706105,321150,6421,0,0,314729,INR,2026-03-18T00:55:00+00:00,BATCH-CONSOL-706105
PO_2187,RZP-PO-824742,187330,0,0,0,187330,INR,2026-03-21T23:27:00+00:00,BATCH-824742
PO_2064,RZP-DELAY-791485,72360,0,0,0,72360,INR,2026-03-20T00:41:00+00:00,DELAY-791485
PO_2236,RZP-DUP-744275,47180,0,0,0,47180,INR,2026-03-15T10:37:00+00:00,DUP-744275
PO_2204,RZP-SPLIT-285161,62320,1246,0,0,61074,INR,2026-03-04T23:12:00+00:00,SPLIT-285161
PO_2276,RZP-PO-368732,143210,0,0,0,143210,INR,2026-03-12T09:29:00+00:00,BATCH-368732
PO_2340,RZP-SPLIT-511834,217080,4341,0,0,212739,INR,2026-03-11T03:18:00+00:00,SPLIT-511834
PO_2221,RZP-REV-675133,18740,374,2811,937,14618,INR,2026-03-04T15:14:00+00:00,REV-675133
PO_2069,RZP-PO-738613,41080,969,0,0,40111,INR,2026-03-02T20:29:00+00:00,BATCH-738613
PO_2320,RZP-REV-379463,91190,1823,13678,4559,71130,INR,2026-03-12T09:01:00+00:00,REV-379463
PO_2305,RZP-PO-312156,192030,4531,0,0,187499,INR,2026-03-09T20:38:00+00:00,BATCH-312156
PO_2188,RZP-PO-945878,108900,2570,0,0,106330,INR,2026-03-11T19:07:00+00:00,BATCH-945878
PO_2289,RZP-NOISY-383808,199470,3989,0,0,195481,INR,2026-03-06T20:11:00+00:00,NOISE-383808
PO_2116,RZP-PO-646000,217630,0,0,0,217630,INR,2026-03-08T02:17:00+00:00,BATCH-646000
PO_2316,RZP-DUP-960326,173810,0,0,0,173810,INR,2026-03-13T14:13:00+00:00,DUP-960326
PO_2021,RZP-PO-935684,208540,0,0,0,208540,INR,2026-03-11T17:24:00+00:00,BATCH-935684
PO_2357,RZP-PO-841399,169790,4007,0,0,165783,INR,2026-03-18T15:32:00+00:00,BATCH-841399
PO_2082,RZP-PO-681606,176260,0,0,0,176260,INR,2026-03-06T21:00:00+00:00,BATCH-681606
PO_2094,RZP-PO-633792,227690,0,0,0,227690,INR,2026-03-14T11:01:00+00:00,BATCH-633792
PO_2310,RZP-BATCH-480020,141010,2819,0,0,138191,INR,2026-03-07T11:25:00+00:00,BATCH-CONSOL-480020
PO_2321,RZP-PO-321107,62660,0,0,0,62660,INR,2026-03-19T19:38:00+00:00,BATCH-321107
PO_2014,RZP-PO-534622,153340,3618,0,0,149722,INR,2026-03-18T05:24:00+00:00,BATCH-534622
PO_2051,RZP-NOISY-694469,210490,4209,0,0,206281,INR,2026-03-06T22:01:00+00:00,NOISE-694469
PO_2217,RZP-MAL-157872,190060,500,0,0,190060,INR,2026-03-01T19:00:00+00:00,MAL-157872
PO_2058,RZP-DELAY-963367,49520,0,0,0,49520,INR,2026-03-05T12:57:00+00:00,DELAY-963367
PO_2376,RZP-PO-218675,13540,0,0,0,13540,INR,2026-03-19T03:17:00+00:00,BATCH-218675
