settlement_id,decision,confidence_score,is_fully_reconciled,stage1_transaction_ids,stage1_gross_sum_minor,stage1_payout_gross_minor,stage2_bank_entry_ids,stage2_bank_credit_sum_minor,stage2_payout_net_minor,failure_reasons,validator_checks
PO_2303,AUTO_APPROVED,0.8955,True,TXN_1410,147430,147430,BNK_3329,147430,147430,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2327,AUTO_APPROVED,0.896,True,TXN_1439,49730,49730,BNK_3353,49730,49730,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2186,AUTO_APPROVED,0.8924,True,TXN_1250,173210,173210,BNK_3206,135105,135105,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2037,AUTO_APPROVED,0.8924,True,TXN_1053,40070,40070,BNK_3044,31256,31256,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2297,NEEDS_REVIEW,0.6843,False,TXN_1404,238670,238670,BNK_3323,233897,233897,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2149,AUTO_APPROVED,0.8941,True,TXN_1207,40460,40460,BNK_3164,40460,40460,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2178,AUTO_APPROVED,0.8968,True,TXN_1242,67910,67910,BNK_3197,67910,67910,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2256,AUTO_APPROVED,0.8184,True,TXN_1349,203480,203480,BNK_3281;BNK_3282,199411,199411,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2172,AUTO_APPROVED,0.8952,True,TXN_1236,124240,124240,BNK_3190,124240,124240,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2283,NEEDS_REVIEW,0.7891,False,TXN_1383;TXN_1382;TXN_1381;TXN_1380,381410,381410,BNK_3308,373782,373782,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2193,AUTO_APPROVED,0.8944,True,TXN_1257,193430,193430,BNK_3213,193430,193430,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2240,AUTO_APPROVED,0.8768,True,TXN_1329,188660,188660,BNK_3264,188660,188660,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2231,AUTO_APPROVED,0.8912,True,TXN_1315,133760,133760,BNK_3254,133760,133760,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2222,NEEDS_REVIEW,0.7856,False,TXN_1297;TXN_1296,87830,87830,BNK_3245,86074,86074,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2113,AUTO_APPROVED,0.8968,True,TXN_1155,55580,55580,BNK_3125,55580,55580,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2184,AUTO_APPROVED,0.8768,True,TXN_1248,203130,203130,BNK_3204,203130,203130,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
